CODE;TARIF
REP;759,5
REA;648,84
STF;324,42
SRC;259,54
NN1;255,7
NN2;384,31
NN3;759,5
DIP;45,19
ANT;181,23
SDC;11927,98
TDE;121,69
TSE;144,2
