,annee,ghm.nro,type,url,10ème percentile de la durée de séjour (en nuitée),95ème percentile de la durée de séjour (en nuitée),Age Moyen,Coefficient de variation,Durée de séjour Maximale (en nuitée),Durée de séjour Minimale (en nuitée),Durée moyenne de séjour (en nuitée),Ecart-Type,Ecart-Type de l'age,Effectif,Mode de la durée de séjour (en nuitée),Médiane de la durée de séjour (en nuitée),Nombre de Décès,Nombre moyen d'actes,Nombre moyen d'actes classants,Nombre moyen d'actes non classants,Nombre moyen de diagnostics associés,Pourcentage de Décès,Variance
2538,2016.0,13M073,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=13M073,"7,00","18,00","54,20","41,16",18,7,"11,00","4,53","19,99",5,,"9,00",0,"6,20","1,20","5,00","6,60","0,00","20,50"
2539,2016.0,13M074,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=13M074,"42,00","42,00","66,00",,42,42,"42,00",,,1,42,"42,00",0,"4,00","0,00","4,00","13,00","0,00",
2540,2016.0,13M081,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=13M081,"0,00","2,00","35,33","193,76",4,0,"0,48","0,94","7,46",33,0,"0,00",0,"0,88","0,09","0,79","0,30","0,00","0,88"
2541,2016.0,13M082,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=13M082,"4,00","4,00","27,00",,4,4,"4,00",,,1,4,"4,00",0,"1,00","0,00","1,00","6,00","0,00",
2542,,,,,,,,,,,,,,,,,,,,,,,
2543,,,,,,,,,,,,,,,,,,,,,,,
2544,2016.0,13M09Z,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=13M09Z,"0,00","14,00","64,03","243,50",51,0,"3,10","7,56","17,51",97,0,"1,00",1,"1,74","0,13","1,61","3,15","1,03","57,09"
2545,2016.0,13M10Z,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=13M10Z,"0,00","2,00","49,36","271,97",5,0,"0,24","0,65","18,33",293,0,"0,00",0,"1,89","0,13","1,76","0,61","0,00","0,42"
2546,2016.0,14C04T,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=14C04T,"0,00","1,00","31,44","153,30",1,0,"0,30","0,46","5,24",341,0,"0,00",0,"2,00","1,13","0,87","1,07","0,00","0,21"
2547,2016.0,14C05J,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=14C05J,"0,00","0,00","32,84",,0,0,"0,00","0,00","5,84",13496,0,"0,00",0,"2,03","1,06","0,98","0,19","0,00","0,00"
2548,2016.0,14M02T,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=14M02T,"0,00","1,00","30,92","114,10",1,0,"0,43","0,50","5,70",545,0,"0,00",0,"1,02","0,41","0,62","1,09","0,00","0,25"
2549,,,,,,,,,,,,,,,,,,,,,,,
2550,,,,,,,,,,,,,,,,,,,,,,,
2551,2016.0,14Z04T,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=14Z04T,"0,00","1,00","32,49","166,39",1,0,"0,27","0,44","6,13",2298,0,"0,00",0,"1,36","0,35","1,01","0,25","0,00","0,20"
2552,2016.0,14Z06T,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=14Z06T,"0,00","1,00","29,92","102,86",1,0,"0,49","0,50","5,81",903,0,"0,00",0,"0,84","0,02","0,82","1,17","0,00","0,25"
2553,,,,,,,,,,,,,,,,,,,,,,,
2554,,,,,,,,,,,,,,,,,,,,,,,
2555,,,,,,,,,,,,,,,,,,,,,,,
2556,2016.0,16C021,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16C021,"2,00","10,00","41,69","63,77",17,0,"4,74","3,02","20,04",58,3,"4,00",1,"4,57","1,38","3,19","1,90","1,72","9,14"
2557,2016.0,16C022,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16C022,"5,00","22,50","54,85","60,63",27,3,"8,40","5,09","21,87",40,5,"7,00",0,"7,10","1,50","5,60","5,10","0,00","25,94"
2558,2016.0,16C023,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16C023,"7,00","25,00","64,95","57,41",37,4,"12,27","7,05","17,49",22,7,"12,00",0,"9,41","2,09","7,32","8,86","0,00","49,64"
2559,2016.0,16C024,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16C024,"8,00","69,00","64,06","83,44",69,6,"23,81","19,87","16,77",16,8,"17,50",0,"12,94","2,38","10,56","11,25","0,00","394,83"
2560,2016.0,16C031,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16C031,"1,00","4,00","54,20","81,06",23,1,"2,03","1,65","19,55",840,1,"2,00",0,"3,66","1,52","2,14","1,21","0,00","2,72"
2561,2016.0,16C032,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16C032,"3,00","13,00","64,80","71,84",35,3,"6,17","4,43","14,48",169,3,"5,00",0,"4,57","1,60","2,98","4,42","0,00","19,65"
2562,2016.0,16C033,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16C033,"6,00","29,00","65,39","63,45",45,4,"12,17","7,72","16,03",66,7,"10,00",2,"5,71","1,85","3,86","7,85","3,03","59,59"
2563,2016.0,16C034,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16C034,"6,00","31,00","69,88","59,36",42,5,"16,67","9,89","14,32",24,6,"14,00",3,"10,25","3,38","6,88","11,79","12,50","97,88"
2564,2016.0,16C03J,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16C03J,"0,00","0,00","44,43",,0,0,"0,00","0,00","19,68",876,0,"0,00",0,"3,42","1,60","1,81","0,39","0,00","0,00"
2565,2016.0,16M061,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M061,"2,00","10,00","48,43","62,65",14,2,"4,65","2,91","23,09",63,2,"4,00",0,"4,11","0,17","3,94","1,92","0,00","8,49"
2566,2016.0,16M062,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M062,"3,00","15,00","61,44","57,81",19,3,"7,36","4,25","19,51",70,3,"6,00",0,"5,16","0,41","4,74","4,87","0,00","18,09"
2567,2016.0,16M063,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M063,"5,00","17,00","60,86","40,89",17,4,"9,14","3,74","20,77",14,6,"9,50",0,"6,00","0,07","5,93","5,64","0,00","13,98"
2568,2016.0,16M064,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M064,"9,00","20,00","71,50","38,24",20,9,"14,00","5,35","16,38",4,,"13,50",0,"8,00","0,00","8,00","11,00","0,00","28,67"
2569,2016.0,16M06T,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M06T,"0,00","1,00","45,58","108,51",1,0,"0,47","0,50","25,48",43,0,"0,00",0,"2,44","0,07","2,37","1,21","0,00","0,25"
2570,,,,,,,,,,,,,,,,,,,,,,,
2571,,,,,,,,,,,,,,,,,,,,,,,
2572,,,,,,,,,,,,,,,,,,,,,,,
2573,,,,,,,,,,,,,,,,,,,,,,,
2574,2016.0,16M081,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M081,"0,00","2,00","56,29","233,44",3,0,"0,38","0,88","17,16",24,0,"0,00",0,"2,25","0,42","1,83","1,25","0,00","0,77"
2575,2016.0,16M082,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M082,"4,00","7,00","72,67","26,96",7,4,"5,67","1,53","5,03",3,,"6,00",0,"4,67","0,33","4,33","4,00","0,00","2,33"
2576,,,,,,,,,,,,,,,,,,,,,,,
2577,2016.0,16M084,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M084,"8,00","8,00","77,00",,8,8,"8,00",,,1,8,"8,00",0,"1,00","0,00","1,00","7,00","0,00",
2578,2016.0,16M091,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M091,"1,00","5,00","58,25","86,89",21,1,"2,15","1,87","18,71",472,1,"2,00",4,"2,10","0,40","1,71","2,36","0,85","3,49"
2579,2016.0,16M092,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M092,"3,00","14,00","62,34","81,34",72,3,"6,01","4,89","13,63",322,3,"5,00",1,"2,41","0,20","2,21","4,89","0,31","23,89"
2580,2016.0,16M093,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M093,"4,00","24,00","69,82","69,20",60,4,"10,09","6,98","13,60",222,4,"8,00",4,"3,48","0,32","3,17","7,09","1,80","48,71"
2581,2016.0,16M094,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M094,"6,00","37,00","77,73","68,92",70,5,"15,20","10,48","12,94",110,6,"13,00",8,"4,80","0,43","4,37","10,36","7,27","109,76"
2582,2016.0,16M09T,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M09T,"0,00","0,00","55,69",,0,0,"0,00","0,00","19,10",490,0,"0,00",0,"2,31","0,76","1,55","0,59","0,00","0,00"
2583,2016.0,16M101,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M101,"2,00","7,00","62,65","66,74",20,2,"3,48","2,33","14,51",462,2,"2,00",16,"1,80","0,10","1,70","3,78","3,46","5,41"
2584,2016.0,16M102,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M102,"3,00","15,00","65,93","65,72",60,3,"7,02","4,61","13,35",999,3,"6,00",29,"2,16","0,10","2,06","5,82","2,90","21,29"
2585,2016.0,16M103,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M103,"4,00","27,00","68,34","68,00",66,4,"12,07","8,21","11,79",693,4,"10,00",57,"3,44","0,19","3,24","8,53","8,23","67,36"
2586,2016.0,16M104,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M104,"6,00","44,00","67,11","78,00",84,5,"16,91","13,19","11,20",352,9,"12,00",43,"5,13","0,34","4,78","11,00","12,22","174,06"
2587,2016.0,16M10T,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M10T,"0,00","1,00","65,69","102,40",1,0,"0,49","0,50","15,64",358,0,"0,00",7,"1,32","0,06","1,26","1,88","1,96","0,25"
2588,2016.0,16M111,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M111,"2,00","7,00","73,15","76,04",36,2,"3,14","2,39","15,40",6397,2,"2,00",29,"3,21","0,93","2,28","3,31","0,45","5,71"
2589,2016.0,16M112,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M112,"3,00","15,00","76,90","66,07",42,3,"6,75","4,46","13,08",4944,3,"5,00",49,"4,69","1,03","3,66","6,27","0,99","19,90"
2590,2016.0,16M113,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M113,"4,00","24,00","78,59","63,81",69,4,"10,79","6,89","12,23",2338,4,"9,00",92,"5,19","0,82","4,37","8,62","3,93","47,44"
2591,2016.0,16M114,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=16M114,"7,00","40,00","77,80","89,37",172,5,"17,37","15,53","11,16",496,7,"13,00",56,"6,10","0,88","5,22","11,77","11,29","241,03"
