,annee,ghm.nro,type,url,10ème percentile de la durée de séjour (en nuitée),95ème percentile de la durée de séjour (en nuitée),Age Moyen,Coefficient de variation,Durée de séjour Maximale (en nuitée),Durée de séjour Minimale (en nuitée),Durée moyenne de séjour (en nuitée),Ecart-Type,Ecart-Type de l'age,Effectif,Mode de la durée de séjour (en nuitée),Médiane de la durée de séjour (en nuitée),Nombre de Décès,Nombre moyen d'actes,Nombre moyen d'actes classants,Nombre moyen d'actes non classants,Nombre moyen de diagnostics associés,Pourcentage de Décès,Variance
5700,2017.0,10M14Z,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M14Z,1,9,"27,13","195,37",132,1,3,"5,87","28,97",3296,1,1,15,"1,15","0,06","1,1","2,47","0,46","34,45"
5701,2017.0,10M151,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M151,2,5,"3,83","75,73",63,2,"2,69","2,04","4,42",2298,2,2,0,"0,53","0,02","0,51","2,07",0,"4,16"
5702,2017.0,10M152,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M152,3,13,"4,03","84,21",74,3,"5,12","4,31","4,93",599,3,4,0,"1,51","0,07","1,44","4,35",0,"18,56"
5703,2017.0,10M153,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M153,4,38,"5,19","178,78",219,4,"13,16","23,52","5,4",152,4,7,0,"3,82","0,23","3,59","7,95",0,"553,37"
5704,2017.0,10M154,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M154,6,62,"5,43","89,18",93,5,"18,39","16,4","5,35",70,6,12,2,"7,8","0,63","7,17","10,54","2,86","268,82"
5705,2017.0,10M15T,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M15T,0,1,"5,06","68,92",1,0,"0,68","0,47","4,89",2137,1,1,4,"0,49","0,02","0,47","1,52","0,19","0,22"
5706,2017.0,10M161,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M161,2,6,"63,99","61,73",28,2,"2,61","1,61","19,64",6111,2,2,328,"1,89","0,07","1,82","4,58","5,37","2,59"
5707,2017.0,10M162,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M162,3,12,"67,49","64,55",40,3,"5,34","3,45","16,71",8512,3,4,300,"2,35","0,1","2,25","6,57","3,52","11,89"
5708,2017.0,10M163,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M163,4,21,"80,09","61,98",108,4,"10,08","6,25","11,97",24874,7,8,1167,"3,19","0,11","3,07","9,48","4,69","39,01"
5709,2017.0,10M164,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M164,6,38,"77,33","74,31",132,5,"15,98","11,88","14,62",4151,8,13,735,"5,42","0,31","5,11","13,36","17,71","141,08"
